0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
,Carbon steel,Forgings,SA–765,I,K03046,,,1.0,1.0,415,205.0,NP,NP,538,343,CS–2,"G10,",T2,,118,118,118,118,118,118.0,114.0,107.0,104.0,101.0,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–515,60,K02401,,,1.0,1.0,415,220.0,538,371,538,343,CS–2,"G10,","S1,",T2,118,118,118,118,118,118.0,118.0,115.0,112.0,108.0,104.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–516,60,K02100,,,1.0,1.0,415,220.0,454,371,538,343,CS–2,"G10,","S1,",T2,118,118,118,118,118,118.0,118.0,115.0,112.0,108.0,104.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–671,CB60,K02401,,,1.0,1.0,415,220.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,118,118,118,118,118,118.0,118.0,115.0,112.0,108.0,104.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–671,CC60,K02100,,,1.0,1.0,415,220.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,118,118,118,118,118,118.0,118.0,115.0,112.0,108.0,104.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–671,CE60,K02402,,,1.0,1.0,415,220.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,118,118,118,118,118,118.0,118.0,115.0,112.0,108.0,104.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,B60,K02401,,,1.0,1.0,415,220.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,118,118,118,118,118,118.0,118.0,115.0,112.0,108.0,104.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,C60,K02100,,,1.0,1.0,415,220.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,118,118,118,118,118,118.0,118.0,115.0,112.0,108.0,104.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–672,E60,K02402,,,1.0,1.0,415,220.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,118,118,118,118,118,118.0,118.0,115.0,112.0,108.0,104.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–134,A283D,K02702,,,1.0,1.0,415,230.0,NP,149 (Cl. 3 only),NP,NP,CS–2,W12,,,118,118,118,118,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Plate,SA–283,D,K02702,,,1.0,1.0,415,230.0,NP,149 (Cl. 3 only),343,343,CS–2,,,,118,118,118,118,118,118.0,118.0,118.0,115.0,111.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–53,E/B,K03005,,,1.0,1.0,415,240.0,482,149 (Cl. 3 only),NP,NP,CS–2,"G10,","S1,","T1, W12, W13",118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–53,E/B,K03005,,,1.0,1.0,415,240.0,482,NP,482,343,CS–2,"G3,","G10,","G24, S1, T1, W6",101,101,101,101,101,101.0,101.0,101.0,101.0,99.7,89.7,75.9,64.1,53.3,38.6,26.8,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. pipe,SA–53,S/B,K03005,,,1.0,1.0,415,240.0,482,149 (Cl. 3 only),NP,NP,CS–2,"G10,","S1,",T1,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. pipe,SA–53,S/B,K03005,,,1.0,1.0,415,240.0,NP,371 (SPT),482,343,CS–2,"G10,",T1,,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. pipe,SA–106,B,K03006,,,1.0,1.0,415,240.0,538,371,538,343,CS–2,"G10,","S1,",T1,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–135,B,,,,1.0,1.0,415,240.0,NP,NP,482,343,CS–2,"G24,","T1,",W6,101,101,101,101,101,101.0,101.0,101.0,101.0,99.7,89.7,75.9,64.1,53.3,38.6,26.8,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. & wld. fittings,SA–234,WPB,K03006,,,1.0,1.0,415,240.0,538,371,538,343,CS–2,"G10,","S1,",T1,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Smls. & wld. pipe,SA–333,6,K03006,,,1.0,1.0,415,240.0,371,371,538,343,CS–2,"G10,","T1,","W12, W13, W14",118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Wld. pipe,SA–333,6,K03006,,,1.0,1.0,415,240.0,371,NP,NP,NP,CS–2,T1,,,101,101,101,101,101,101.0,101.0,101.0,101.0,99.7,89.7,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Smls. & wld. tube,SA–334,6,K03006,,,1.0,1.0,415,240.0,NP,371,343,343,CS–2,"T1,","W12,",W14,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Wld. tube,SA–334,6,K03006,,,1.0,1.0,415,240.0,NP,NP,343,343,CS–2,"G24,",W6,,101,101,101,101,101,101.0,101.0,101.0,101.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Forged pipe,SA–369,FPB,K03006,,,1.0,1.0,415,240.0,538,NP,NP,NP,CS–2,"G10,","S1,",T1,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,21.9,12.7,,,,,,,,,,,,,,,
,Carbon steel,Forgings,SA–372,A,K03002,,,1.0,1.0,415,240.0,NP,NP,343,343,CS–2,,,,118,118,118,118,118,118.0,118.0,118.0,118.0,118.0,,,,,,,,,,,,,,,,,,,,,,,
,Carbon steel,Sheet,SA–414,D,K02505,,,1.0,1.0,415,240.0,NP,NP,482,343,CS–2,"G10,",T1,,118,118,118,118,118,118.0,118.0,118.0,118.0,117.0,105.0,88.9,75.3,62.7,45.5,31.6,,,,,,,,,,,,,,,,,
