0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1,Castings,SA–352,LCB,J03003,,,1.0,1.0,450,240.0,NP,371,343,343,CS–2,"G1,",G17,,,128,128,128,128,128,128,128,125,122,118,114.0,,,,,,,,,,,,,,,,,,,,,
2,Plate,SA–515,65,K02800,,,1.0,1.0,450,240.0,538,371,538,343,CS–2,"G10,","S1,",T2,,128,128,128,128,128,128,128,125,122,118,114.0,95.0,79.6,63.2,45.3,31.7,21.9,12.7,,,,,,,,,,,,,,
3,Plate,SA–516,65,K02403,,,1.0,1.0,450,240.0,454,371,538,343,CS–2,"G10,","S1,",T2,,128,128,128,128,128,128,128,125,122,118,114.0,95.0,79.6,63.2,45.3,31.7,21.9,12.7,,,,,,,,,,,,,,
4,Wld. pipe,SA–671,CB65,K02800,,,1.0,1.0,450,240.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,,128,128,128,128,128,128,128,125,122,118,114.0,,,,,,,,,,,,,,,,,,,,,
5,Wld. pipe,SA–671,CC65,K02403,,,1.0,1.0,450,240.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,,128,128,128,128,128,128,128,125,122,118,114.0,,,,,,,,,,,,,,,,,,,,,
6,Wld. pipe,SA–672,B65,K02800,,,1.0,1.0,450,240.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,,128,128,128,128,128,128,128,125,122,118,114.0,,,,,,,,,,,,,,,,,,,,,
7,Wld. pipe,SA–672,C65,K02403,,,1.0,1.0,450,240.0,NP,371,NP,NP,CS–2,"S6,","W10,",W12,,128,128,128,128,128,128,128,125,122,118,114.0,,,,,,,,,,,,,,,,,,,,,
8,Sheet,SA–414,E,K02704,,,1.0,1.0,450,260.0,NP,NP,482,343,CS–2,"G10,",T1,,,128,128,128,128,128,128,128,128,128,127,114.0,95.1,79.6,63.1,45.7,28.3,,,,,,,,,,,,,,,,
9,Plate,SA–662,B,K02203,,,1.0,1.0,450,275.0,NP,NP,371,343,CS–2,T1,,,,128,128,128,128,128,128,128,128,128,127,114.0,,,,,,,,,,,,,,,,,,,,,
10,Plate,SA–537,,K12437,1,65 < t ≤ 100,1.0,2.0,450,310.0,NP,371,343,343,CS–2,T1,,,,128,128,128,128,128,128,128,128,128,127,114.0,,,,,,,,,,,,,,,,,,,,,
11,Wld. pipe,SA–691,CMSH–70,K12437,,65 < t ≤ 100,1.0,2.0,450,310.0,NP,371,NP,NP,CS–2,"G26,","T1,","W10,",W12,128,128,128,128,128,128,128,128,128,127,114.0,,,,,,,,,,,,,,,,,,,,,
12,"Plate, bar",SA/CSA–G40.21,44W,,,t ≤ 200,1.0,1.0,450,,343,NP,343,343,CS–2,G18,,,,128,128,128,128,128,128,128,128,128,128,,,,,,,,,,,,,,,,,,,,,,
